id,name,latitude,longitude,country
Q789430,Autódromo Parque Ciudad de Río Cuarto,-33.17917,-64.36944,AR
Q4827234,Autódromo Parque de la Velocidad de San Jorge,-31.91170,-61.86868,AR
Q5713023,Autódromo Parque Provincia del Neuquén,-38.85466,-68.15561,AR
Q4827236,Autódromo Pedro Cofiño,14.38250,-90.82056,GT
Q4827237,Autódromo Potosino,22.09139,-100.72556,MX
Q16489237,Autódromo Provincia de La Pampa,-36.72973,-64.34929,AR
Q65173437,Autódromo Ricardo Mejía,4.77833,-74.04528,CO
Q686521,Autódromo Roberto Mouras,-34.98056,-58.18028,AR
Q10858004,Autódromo Rosamonte,-27.44027,-55.92620,AR
Q4827240,Autódromo Santiago Yaco Guarnieri,-27.38806,-59.00500,AR
Q15194186,Autódromo Sudamericano de Olavarría,-36.85944,-60.25412,AR
Q16830535,Autódromo Tacna,-18.11197,-70.31052,PE
Q4827242,Autódromo Termas de Río Hondo,-27.50586,-64.91447,AR
Q16495395,Autódromo Velo Città,-22.28944,-46.84778,BR
Q15194198,Autódromo Viedma,-40.85681,-63.01969,AR
Q5713032,Autódromo Víctor Borrat Fabini,-34.78056,-55.92222,UY
Q4827593,Avalon Raceway,-38.01360,144.45600,AU
Q155810,AVUS,52.48056,13.25139,DE
Q86677710,Awix Racing Arena,53.01889,18.54222,PL
Q25005334,Badlands Motor Speedway,43.57059,-96.58340,US
Q171332,Bahrain International Circuit,26.03250,50.51056,BH
Q17004958,Baku City Circuit,40.37250,49.85330,AZ
Q118511681,Balaton Park Circuit,47.00806,18.19889,HU
Q789302,Balatonring,46.58853,17.25325,HU
Q1745990,Baltimore Street Circuit,39.28330,-76.61670,US
Q4854603,Bandimere Speedway,39.66380,-105.18800,US
Q116763746,Bangsaen Street Circuit,13.30833,100.90694,TH
Q807806,Barber Motorsports Park,33.53250,-86.61890,US
Q808913,Barrie Speedway,44.47700,-79.51500,CA
Q4867615,Baskerville Raceway,-42.74560,147.29600,AU
Q4868606,Batangas Racing Circuit,13.82028,121.27722,PH
Q117359803,Battenbergring,50.97400,8.60800,DE
Q19360198,Battersea Park Street Circuit,51.47920,-0.15722,GB
Q31490922,Battleground Speedway,29.85194,-95.06417,US
Q19274808,Bautzener Autobahnring,51.19558,14.45845,DE
Q139799568,Baypark Raceway,-37.68056,176.23444,NZ
Q5086746,Beaver Dam Raceway,43.44850,-88.81190,US
Q813859,Bedford Autodrome,52.23360,-0.47222,GB
Q4879200,Bedford Speedway,40.02400,-78.52000,US
Q2893621,Beech Ridge Motor Speedway,43.61020,-70.38070,US
Q23016653,Beeline Dragway,33.50759,-111.76065,US
Q2351209,Beijing International Street Circuit,39.80972,116.49861,CN
Q814724,Beijing International Street Circuit,40.17370,116.68660,CN
Q17928550,Beijing Olympic Green Circuit,39.99470,116.38500,CN
Q2125172,Belle Isle circuit,42.33611,-82.99556,US
Q123857547,Belo Horizonte Circuit,-19.86639,-43.97278,BR
Q2872227,Beltsville Speedway,39.04630,-76.85130,US
Q17122433,Belvedere Airport Circuit,-17.93181,31.09269,ZW
Q4892458,Berlin Raceway,43.03560,-85.83530,US
Q24174786,Berlin Street Circuit,52.51778,13.43528,DE
Q59558659,Bern Street Circuit,46.94917,7.44722,CH
Q823167,Bernauer Schleife,52.61390,13.55830,DE
Q4897921,Bethel Motor Speedway,41.70800,-74.83680,US
Q4899562,Beverly Hills Speedway,34.06610,-118.40200,US
Q48699900,Bihoku Highland Circuit,34.97447,133.61525,JP
Q125776425,BiKarting,45.60383,11.79945,IT
Q4912027,Billown Circuit,54.08845,-4.66455,IM
Q863357,Bilster Berg,51.79220,9.06688,DE
Q4915575,Bira Circuit,12.92139,101.00917,TH
Q18397207,Biscayne Bay Street Circuit,25.78190,-80.19060,US
Q16353023,Biķernieki Complex Sports Base,56.96640,24.22150,LV
Q4922956,Blackhawk Farms Raceway,42.49750,-89.11500,US
Q131674393,Blue Circle Raceway,-26.15222,26.18583,ZA
Q2974007,BMW autodrome de Miramas,43.57280,4.96472,FR
Q172874,Boavista Circuit,41.17047,-8.67325,PT
Q117210047,Bonanza International Circuit,14.58990,101.42730,TH
Q3642181,Bonneville Speedway,40.76250,-113.89556,US
Q4943648,Boone Speedway,42.03200,-93.87600,US
Q24185566,Borderline Speedway,-37.85444,140.86694,AU
Q894749,Botniaring Racing Circuit,62.62693,22.01623,FI
Q897426,Brainerd International Raceway,46.41710,-94.27310,US
Q172880,Brands Hatch,51.35667,0.26250,GB
Q17122517,Breedon Everard Raceway,-20.10861,28.57028,ZW
Q34810718,Bridgeport Speedway,39.81880,-75.31800,US
Q16255493,Bristol Dragway,36.51700,-82.24900,US
Q383490,Bristol Motor Speedway,36.51560,-82.25690,US
Q4972882,Brockville Ontario Speedway,44.63530,-75.85000,CA
Q16847242,Bronson Speedway,29.47330,-82.60670,US
Q929193,Brooklands,51.34889,-0.47250,GB
Q17673917,"Brooklands motor racing circuit, remains of the pre-World War II aerodrome, World War II Bofors tower and shelters, and the Brooklands memorial",51.35080,-0.46856,GB
Q27230568,Brooklyn Street Circuit,40.68000,-74.01580,US
Q2333555,Bruce McLaren Motorsport Park,-38.66556,176.14417,NZ
Q4979457,Brunots Island Race Track,40.46310,-80.04330,US
Q641822,Bucharest Ring,44.42750,26.08444,RO
Q4983421,Buckmore Park Kart Circuit,51.34310,0.50139,GB
Q172906,Buddh International Circuit,28.35056,77.53500,IN
Q928721,Bugatti Circuit,47.95372,0.21078,FR
Q18209292,Bunbury Speedway,-33.34000,115.63900,AU
Q67202416,Burg-Park-Ring Kart Bad Mergentheim,49.49560,9.75237,DE
Q1025346,Cadwell Park,53.30890,-0.06306,GB
Q786639,Caesar's Palace Circuit,36.12236,-115.17553,US
Q39057171,Cajon Speedway,32.82208,-116.96825,US
Q14875114,Calabogie Motorsports Park,45.30280,-76.67220,CA
Q2009456,Calder Park Raceway,-37.67170,144.75600,AU
Q5021025,California State Fairgrounds Race Track,38.55000,-121.45000,US
Q5029008,Can-Am Speedway,44.20040,-75.95140,US
Q5030340,Canadian Motor Speedway,42.92803,-78.98675,CA
Q171570,Canadian Tire Motorsport Park,44.05000,-78.67778,CA
Q19460795,Canandaigua Motorsports Park,42.89470,-77.24970,US
Q24089734,Canberra Street Circuit,-35.29944,149.12730,AU
Q5032316,Canfield Speedway,41.01000,-80.75360,US
Q2937386,Capital City Speedway,45.24200,-75.98900,CA
Q130286672,Capitol Raceway,39.03480,-76.70356,US
Q5037809,Caraway Speedway,35.76620,-79.88510,US
Q5043739,Carmona Racing Circuit,14.28194,121.00889,PH
Q48814027,Castelletto Circuit,45.07019,9.10545,IT
Q5050030,Castle Combe Circuit,51.48970,-2.21250,GB
Q5050579,Castlereagh International Dragway,-33.67390,150.68600,AU
Q5051273,Catalina Park,-33.71220,150.30400,AU
Q130211883,Cecil County Dragway,39.63870,-75.99019,US
Q5056794,Cedar Lake Speedway,45.19031,-92.58800,US
Q5058697,Cemetery Circuit,-39.93920,175.04920,NZ
Q8343695,Centro Sperimentale Balocco,45.48534,8.30502,IT
Q16307503,Chang International Circuit,14.96284,103.08500,TH
Q172879,Charade Circuit,45.74250,3.02894,FR
Q5085899,Charlotte County Motorsports Park,26.90810,-82.00030,US
Q1067286,Charlotte Motor Speedway,35.35250,-80.68250,US
Q1067347,Charlotte Speedway,35.23850,-80.94380,US
Q5090684,Chemung Speedrome,42.02480,-76.62410,US
Q2647611,Chengdu Goldenport Circuit,30.58472,104.11583,CN
Q125120279,Chengdu Tianfu International Circuit,30.49306,104.43333,CN
Q138862466,Chiang Rai Circuit Raceway Mae Lao,19.74182,99.68960,TH
Q2149852,Chicago Motor Speedway,41.83056,-87.74861,US
Q113428164,Chicago Street Course,41.87583,-87.62056,US
